Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,3.600000,3.720000,3.530000,3.560000,3.560000,267662
2019-06-13,3.570000,3.570000,3.400000,3.440000,3.440000,199485
2019-06-14,3.550000,3.550000,3.350000,3.380000,3.380000,86411
2019-06-17,3.390000,3.390000,3.270000,3.290000,3.290000,311552
2019-06-18,3.300000,3.360000,3.270000,3.280000,3.280000,172005
2019-06-19,3.270000,3.340000,3.250000,3.260000,3.260000,297259
2019-06-20,3.370000,3.370000,3.210000,3.280000,3.280000,238533
2019-06-21,3.380000,3.380000,3.210000,3.270000,3.270000,300668
2019-06-24,3.300000,3.400000,3.200000,3.210000,3.210000,350078
2019-06-25,3.200000,3.350000,3.200000,3.300000,3.300000,221384
2019-06-26,3.300000,3.390000,3.290000,3.320000,3.320000,187616
2019-06-27,3.290000,3.340000,3.200000,3.300000,3.300000,509242
2019-06-28,3.300000,3.350000,3.270000,3.290000,3.290000,54362
2019-07-01,3.270000,3.360000,3.260000,3.300000,3.300000,67125
2019-07-02,3.300000,3.330000,3.260000,3.290000,3.290000,48947
2019-07-03,3.310000,3.310000,3.220000,3.270000,3.270000,123316
2019-07-04,3.290000,3.320000,3.250000,3.290000,3.290000,125936
2019-07-05,3.310000,3.310000,3.200000,3.210000,3.210000,151595
2019-07-08,3.160000,3.210000,3.050000,3.090000,3.090000,283732
2019-07-09,3.050000,3.310000,3.020000,3.280000,3.280000,179380
2019-07-10,3.350000,3.400000,3.240000,3.260000,3.260000,67095
2019-07-11,3.240000,3.370000,2.840000,2.960000,2.960000,1653905
2019-07-12,3.080000,3.180000,2.900000,3.140000,3.140000,363329
2019-07-15,3.140000,3.140000,2.710000,2.810000,2.810000,1408633
2019-07-16,2.800000,2.810000,2.650000,2.690000,2.690000,931529
2019-07-17,2.710000,2.800000,2.650000,2.690000,2.690000,290596
2019-07-18,2.750000,2.750000,2.550000,2.580000,2.580000,341661
2019-07-19,2.590000,2.630000,2.510000,2.600000,2.600000,274949
2019-07-22,2.600000,2.660000,2.520000,2.640000,2.640000,441822
